Transaction_Name,Minimum,Average,Maximum,Std_Deviation,ninety_Percent,Pass,Fail,Stop
CreateCustomerTriplePlay_TV_Validate,0.109,0.251,1.896,0.137,0.356,925,0,0
CreateCustomerTriplePlay_TV_Validate_XX_OE_validateHW,0.109,0.251,1.896,0.137,0.356,925,0,0
CreateCustomerTriplePlay_SaveTVEquipment,0.14,0.335,4.244,0.237,0.469,924,0,0
CreateCustomerTriplePlay_SaveTVEquipment_XX_OE_saveEquipment,0.14,0.335,4.244,0.237,0.469,924,0,0
CreateCustomerTriplePlay_InternetChoice,0.047,0.172,2.683,0.132,0.254,924,0,0
CreateCustomerTriplePlay_InternetChoice_XX_OE_showcomponent,0.047,0.171,2.683,0.132,0.254,924,0,0
CreateCustomerTriplePlay_2YVP_WIFI,0.172,0.407,4.658,0.246,0.578,923,0,0
CreateCustomerTriplePlay_2YVP_WIFI_XX_OE_discountCheckAction,0.172,0.407,4.658,0.246,0.578,923,0,0
CreateCustomerTriplePlay_ServiceAgreement,0.078,0.251,1.911,0.144,0.359,925,0,0
CreateCustomerTriplePlay_ServiceAgreement_XX_OE_DiscountPop,0.031,0.12,1.751,0.115,0.17,925,0,0
CreateCustomerTriplePlay_ServiceAgreement_XX_OE_showComponent,0.047,0.131,0.671,0.061,0.196,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement,0.733,1.544,8.552,0.595,2.105,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_ConfirmDiscount,0.031,0.107,0.594,0.053,0.154,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_DiscountCheckAction_TV_PGCode,0.172,0.411,4.383,0.251,0.582,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_DiscountCheckAction1_PGCode,0.172,0.392,3.341,0.192,0.569,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_HideComponent1,0.036,0.103,0.895,0.055,0.148,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_InfoChangeAction,0.109,0.295,1.804,0.153,0.437,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_SelectCategory_TV_PGCode,0.031,0.125,1.598,0.091,0.179,924,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_SystemRpcUpdate1,0.031,0.111,1.455,0.083,0.157,925,0,0
CreateCustomerTriplePlay_AddProduct,0.062,0.17,3.128,0.156,0.236,925,0,0
CreateCustomerTriplePlay_AddProduct_XX_OE_AddOffer,0.062,0.17,3.128,0.156,0.236,925,0,0
CreateCustomerTriplePlay_SaveServiceAgreement_XX_OE_InfoChangeAction,0.125,0.304,1.029,0.126,0.451,666,0,0
